depot_name,location,routes_served
KOYAMBEDU,"KOYAMBEDU, VADAPALANI REGION, CHENNAI","104C, 104CX, 111, 111ET, 113, 113A, 114, 114C, 114CCT, 114D, 114E, 114ET, 114G, 114P, 114S, 121, 121A, 121C, 121CT, 121D, 121G, 121M, 121MET, 12X, 14A, 15, 153, 153A, 153C, 153P, 153T, 159B, 159E, 159K, 15BET, 15F, 16J, 16K, 170A, 170C, 170CE, 170K, 170T, 170TX, 27B, 46, 46ET, 46G, 48C, 514, 514ET, 553W, 558L, 570, 570ET, 570P, 58V, 70, 70A, 70ACT, 70C, 70F, 70H, 70J, 70K, 70LCT, 70M, 70N, 70T, 70V, 72, 72M, 73, 73A, 76, 76B, 77, 77A, 77B, 77CT, 77E, 77K, 77M, 77P, 77T, 77V, 77VET, 78, B70CT, D70, D70CT, D70X, F70, M27, M70, P570S, S28, S31, S51, S60"
CENTRAL DEPOT,"CENTRAL DEPOT, AYANAVARAM REGION, CHENNAI",N/A
AYANAVARAM,"AYANAVARAM, AYANAVARAM REGION, CHENNAI","114A, 23C, T23C"
PERAMBUR,"PERAMBUR, AYANAVARAM REGION, CHENNAI","104P, 129C, 142, 142B, 142P, 164, 29A, 29B, 29C, 29D, 29E, 29NET, 42, 42C, 42M, 48A, 48AET, 64K, 64KET, 64M, C33, C64, S44, S62, S64, T29, T29C"
BASIN BRIDGE,"BASIN BRIDGE, AYANAVARAM REGION, CHENNAI",N/A
ANNANAGAR EAST,"ANNANAGAR EAST, AYANAVARAM REGION, CHENNAI",N/A
ANNANAGAR,"ANNANAGAR, ANNANAGAR REGION, CHENNAI",N/A
AMBATHUR,"AMBATHUR, ANNANAGAR REGION, CHENNAI",N/A
AVADI,"AVADI, ANNANAGAR REGION, CHENNAI","101, 101CT, 101E, 101X, 102, 102A, 102C, 102CT, 102E, 102K, 102K#, 102M, 102P, 102S, 102X, 104A, 111, 111ET, 119, 119G, 120, 120A, 120E, 120K, 120KET, 150, 153, 153A, 153C, 153P, 153T, 154, 154B, 154E, 154P, 159, 16J, 19, 19A, 19B, 19BET, 19C, 19D, 202, 202A, 202X, 206, 20P, 21C, 221, 25, 266, 29E, 37, 40A, 40H, 49A, 49F, 49X, 50, 50ET, 50M, 514, 514ET, 519T, 523, 523A, 525, 53, 53C, 53E, 53P, 54, 549, 54E, 54G, 54K, 54L, 54S, 54T, 54V, 553W, 554B, 565, 568B, 570, 570ET, 570P, 572, 572A, 572K, 57X, 580, 580A, 580M, 59, 592, 593CT, 597, 5G, 5S, 61A, 61C, 61E, 61K, 61R, 62, 62CT, 62M, 65A, 65B, 65CCT, 65D, 65E, 65G, 65H, 65K, 66, 66P, 66PX, 70, 70A, 70ACT, 70K, 71E, 71H, 71V, 72, 72M, 73, 73A, 77, 77E, 77FCT, 77P, 77V, 77VET, 91, 91A, 91V, 95, 95X, 96, A1ET, A47, A54C, F70, J66, M19B, MAA2, P570S, P91, S22, S23, S24, S41, S45, S47, S47M, S48, S49, S50, S52"
VYASARPADI,"VYASARPADI, ANNANAGAR REGION, CHENNAI","104G, 2A, 2B, 33B, 37E, 37ECT, 38A, 38D, 38G, 38H, 46G, 547A, 57, 57A, 57D, 57F, 57H, 57J, 57M, 57P, 57X, 592V, 64C, 64D, 64K, 64KET, 70E, C33, C64"
TONDIARPET-1,"TONDIARPET-1, TONDIARPET-1 (EV - 02/03/2026) REGION, CHENNAI","101E, 157T, 32A, 56PA"
TONDIARPET-II,"TONDIARPET-II, TONDIARPET-1 (EV - 02/03/2026) REGION, CHENNAI",N/A
ENNORE,"ENNORE, TONDIARPET-1 (EV - 02/03/2026) REGION, CHENNAI","121C, 157E, 159E, 1C, 1D, 28B, 4, 4M, 556, 56A, 56ACT"
MADHAVARAM,"MADHAVARAM, TONDIARPET-1 (EV - 02/03/2026) REGION, CHENNAI","104F, 114G, 121, 121A, 121C, 121D, 121G, 121M, 121MET, 157, 157E, 164, 170A, 170CE, 170T, 170TX, 29D, 38A, 38G, 38H, 48A, 48AET, 547A, 558B, 558C, 558P, 57, 57A, 57D, 57F, 57H, 57J, 57M, 57X, 58V, 592V, 64C, 64D, 64M, 70F, S64, S67"
PADIYANALLUR,"PADIYANALLUR, TONDIARPET-1 (EV - 02/03/2026) REGION, CHENNAI","114D, 114E, 114ET, 114G, 114P, 114S, 512, 512S, 514, 514ET, 547, 547A, 557, 557AE, 557C, 557M, 558A, 558B, 558C, 558L, 558P, 57A, 57E, 57F, 57G, 57H, 57J, 57X, 592, 592V, 593CT"
